İlçe,Tarih,PM10 (µg/m3),PM2.5 (µg/m3),SO2 (µg/m3),CO (µg/m3),NO2 (µg/m3),NOX (µg/m3),NO (µg/m3),O3 (µg/m3),Maks_Sıcaklik_C,Toplam_Yağış_mm,Maks_Rüzgar_Hızı_kmh,average_traffic_index,Ay,Durum,Sağlık_Risk_Durumu
Arnavutköy,08.01.2019,328.22,58.46,4.36,97.44,8.47,13.66,2.16,53.69,0.8,1.7,29.3,28.80208333333333,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,09.01.2019,310.96,58.45,4.66,,20.91,24.68,2.44,,5.6,0.8,25.3,26.884615384615383,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,10.01.2019,284.83,58.43,4.75,,10.93,14.95,2.19,,11.9,1.2,32.8,28.163763066202087,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,11.01.2019,238.9,58.28,4.99,230.4,10.07,17.23,4.67,56.34,10.8,19.6,31.6,36.73867595818815,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,12.01.2019,182.01,58.26,5.89,286.65,9.71,17.84,5.27,51.53,4.3,10.0,18.8,28.32982456140351,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,13.01.2019,174.39,58.22,4.22,421.89,13.33,20.65,4.8,56.15,3.8,0.2,20.6,12.264808362369338,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,14.01.2019,171.2,58.2,7.8,565.02,37.86,49.03,7.26,26.06,8.1,0.0,22.5,21.38888888888889,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,15.01.2019,167.51,58.18,4.14,227.1,16.53,26.84,6.69,45.13,4.8,6.6,35.1,34.02797202797203,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,16.01.2019,166.62,58.07,3.42,165.77,20.57,26.47,3.82,42.04,4.1,0.0,33.2,26.007017543859646,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,17.01.2019,165.14,57.97,7.18,96.8,36.8,50.52,8.92,31.92,9.0,0.0,14.3,26.933797909407662,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,18.01.2019,162.08,57.92,7.57,79.89,41.02,53.19,7.92,29.21,10.1,0.0,16.9,27.118466898954704,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,19.01.2019,154.1,57.88,5.12,62.78,20.03,27.39,4.79,52.29,12.2,0.3,14.0,22.472027972027966,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,20.01.2019,153.98,57.87,5.55,73.9,33.58,52.23,12.11,29.82,11.9,0.7,14.9,17.996503496503497,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,21.01.2019,151.98,57.81,2.96,60.79,23.89,32.73,5.71,35.32,9.1,2.2,18.7,26.979166666666664,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,22.01.2019,147.82,57.8,2.93,51.07,18.68,27.38,5.63,45.53,8.2,0.0,17.7,26.076655052264808,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,23.01.2019,146.92,57.71,5.35,77.63,39.43,62.97,15.3,27.96,11.9,7.1,21.9,32.811188811188806,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,24.01.2019,146.38,57.69,4.46,62.23,39.66,51.05,7.4,27.19,12.6,2.2,21.0,13.045454545454543,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,25.01.2019,146.25,57.65,4.65,64.32,41.3,65.75,15.9,23.03,14.9,0.2,19.9,30.414634146341463,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,26.01.2019,145.98,57.64,4.39,63.01,32.82,48.24,10.01,31.46,14.0,0.6,19.9,24.57839721254356,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,27.01.2019,144.15,57.58,2.1,70.91,11.97,20.18,5.3,32.97,6.8,2.1,21.1,20.003472222222225,1,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,28.01.2019,142.81,57.51,3.49,78.56,35.65,51.77,10.47,18.58,11.4,0.0,19.2,24.758741258741257,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,29.01.2019,142.15,57.5,4.83,83.32,37.49,52.54,9.78,42.02,14.4,0.3,18.0,27.574912891986063,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,30.01.2019,141.74,57.48,5.78,86.09,47.63,64.1,10.7,28.44,15.2,0.0,15.7,27.133333333333333,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,31.01.2019,140.07,57.43,2.91,59.5,18.13,22.33,2.73,61.07,13.6,7.8,20.0,34.25524475524475,1,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,01.02.2019,140.0,57.38,2.7,56.15,12.56,15.63,1.95,61.6,11.6,3.4,22.7,32.99305555555556,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,02.02.2019,138.85,57.23,4.49,65.35,30.15,34.78,2.99,44.57,13.7,0.0,19.0,24.24041811846689,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,03.02.2019,137.96,57.17,8.43,67.73,35.96,41.38,3.5,35.53,14.6,0.0,14.9,16.08362369337979,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,04.02.2019,137.91,57.07,10.71,85.3,56.65,93.49,24.55,23.11,17.8,0.0,11.4,21.993006993007,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,05.02.2019,137.17,57.05,4.1,53.84,13.27,17.84,2.93,55.84,10.4,0.0,23.4,25.409722222222225,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,06.02.2019,137.16,57.05,3.59,50.06,7.42,11.6,2.67,61.43,9.0,4.3,26.6,29.02787456445993,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,07.02.2019,136.98,57.03,2.97,73.85,7.14,12.46,3.43,56.38,6.5,7.2,27.2,34.28819444444444,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,08.02.2019,136.81,57.02,2.1,79.78,9.33,15.67,4.1,60.94,6.9,4.8,20.2,32.38162544169612,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,09.02.2019,136.76,56.93,2.38,68.56,15.76,24.28,5.51,57.93,5.7,0.3,18.6,22.857142857142858,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,10.02.2019,136.7,56.74,2.85,81.63,29.58,36.86,4.98,42.28,8.6,0.0,12.0,16.414634146341463,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,11.02.2019,135.16,56.72,6.79,81.7,34.03,44.28,7.08,38.99,12.2,0.0,23.7,23.79151943462897,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,14.02.2019,134.29,56.71,4.41,90.73,8.05,13.16,3.37,65.37,5.8,0.3,30.4,28.350694444444443,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,15.02.2019,133.14,56.66,3.76,51.11,7.01,11.53,2.94,66.22,6.8,2.9,31.4,32.299651567944245,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,16.02.2019,132.84,56.61,3.74,89.67,9.62,15.5,3.8,62.38,6.6,0.1,26.2,23.347368421052632,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,17.02.2019,131.73,56.61,4.2,54.65,16.3,22.95,4.32,54.59,8.4,0.0,12.6,14.347517730496453,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,18.02.2019,131.59,56.57,5.47,233.33,40.85,60.13,12.52,36.41,12.6,0.0,13.4,23.27777777777777,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,19.02.2019,130.84,56.55,4.77,94.25,26.68,38.8,7.85,48.62,13.5,0.0,12.0,27.750877192982458,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,20.02.2019,130.6,56.44,6.06,259.88,45.4,70.94,16.58,38.36,13.2,0.0,12.0,27.74125874125874,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,21.02.2019,129.64,56.42,4.83,201.58,38.47,52.47,9.09,36.6,10.9,0.3,17.5,27.625,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,22.02.2019,129.1,56.41,5.85,213.91,39.43,47.7,5.36,35.11,10.7,1.4,13.6,26.513986013986013,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,24.02.2019,128.17,56.36,2.39,211.3,5.07,8.17,1.97,64.33,1.5,12.3,28.6,23.409722222222225,2,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,25.02.2019,127.87,56.23,2.56,110.33,7.32,11.43,2.65,68.51,5.0,3.1,25.3,26.506993006993007,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,26.02.2019,127.85,56.2,3.44,101.77,17.59,23.87,4.05,66.37,7.1,0.3,18.4,26.23263888888889,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,27.02.2019,127.36,56.17,3.64,137.68,11.06,15.25,2.69,64.57,5.6,11.9,27.5,33.67132867132867,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,28.02.2019,127.09,56.15,4.7,162.64,10.15,13.85,2.39,66.65,8.7,0.4,21.9,25.28919860627177,2,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,01.03.2019,127.0,56.13,8.35,317.29,16.78,20.25,2.23,69.17,13.9,0.0,25.1,27.377622377622377,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,02.03.2019,126.52,56.07,8.33,319.45,19.93,24.76,3.1,58.3,12.9,1.3,21.5,21.30208333333333,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,03.03.2019,126.31,56.05,3.42,225.62,7.41,12.31,3.16,76.4,6.9,0.0,20.7,16.39298245614035,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,04.03.2019,126.11,56.04,5.26,368.06,37.99,51.45,8.72,52.55,9.6,0.0,12.0,23.743859649122808,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,05.03.2019,124.98,55.89,9.11,325.04,28.91,32.67,2.43,58.1,13.9,0.0,25.9,27.454545454545453,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,06.03.2019,124.04,55.74,6.0,290.21,27.05,33.2,4.0,57.87,15.2,6.6,17.6,29.493006993007,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,07.03.2019,123.63,55.73,4.83,299.72,41.71,63.23,13.97,47.21,16.4,0.0,10.6,30.311188811188806,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,08.03.2019,123.6,55.7,10.87,434.97,68.16,93.27,16.34,36.39,17.9,0.0,16.1,30.630281690140844,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,09.03.2019,123.32,55.65,6.65,245.2,28.11,31.73,2.33,54.65,17.3,0.0,18.9,23.32986111111111,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,10.03.2019,123.31,55.6,4.75,188.5,15.18,18.73,2.26,63.06,16.9,0.0,18.4,19.79513888888889,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,11.03.2019,123.14,55.49,9.01,195.51,22.03,24.12,1.33,68.42,18.1,0.0,21.9,23.81533101045296,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,12.03.2019,123.02,55.46,7.0,182.46,22.54,27.92,3.55,58.87,16.5,27.1,31.1,34.52816901408451,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,14.03.2019,122.97,55.44,5.05,130.01,13.52,18.28,3.1,67.26,7.9,0.0,16.0,25.25,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,15.03.2019,122.91,55.38,5.25,150.37,21.75,27.25,3.6,63.12,9.1,0.8,17.0,28.382978723404253,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,16.03.2019,122.34,55.36,6.88,233.19,25.84,30.87,3.27,52.42,12.1,0.0,25.1,24.827956989247312,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,17.03.2019,121.93,55.34,7.24,176.3,28.39,33.45,3.28,64.39,16.5,0.0,17.6,20.393728222996515,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,18.03.2019,121.78,55.28,12.8,312.5,59.74,73.2,8.78,41.94,20.0,0.0,14.7,24.05653710247349,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,19.03.2019,121.5,55.25,10.8,199.03,40.76,49.2,5.5,53.52,20.5,0.0,11.5,25.87956204379562,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,20.03.2019,120.68,55.23,4.4,86.83,18.61,31.49,8.37,64.97,11.8,0.0,25.4,26.750877192982458,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,21.03.2019,120.64,55.18,3.6,87.16,17.07,30.4,8.7,65.3,10.9,0.0,25.0,26.48251748251748,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,22.03.2019,120.15,55.18,3.71,104.54,29.85,51.86,14.33,57.46,11.8,0.0,17.1,24.85635359116022,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,23.03.2019,119.9,55.1,4.21,120.67,20.42,35.93,10.1,58.97,12.9,0.0,22.7,28.307692307692307,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,24.03.2019,119.46,55.1,4.39,110.46,21.44,29.34,5.16,67.34,10.0,0.0,16.4,32.03846153846153,3,Hafta Sonu,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,25.03.2019,119.38,55.07,4.99,182.77,46.18,62.26,10.5,43.37,14.8,0.0,8.6,49.46153846153847,3,Hafta İçi,Çok Yüksek Risk (Tehlikeli)
Arnavutköy,26.03.2019,118.4,54.96,6.66,396.3,56.48,90.48,22.15,38.05,18.0,0.0,17.4,46.46153846153847,3,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,27.03.2019,117.82,54.92,3.55,225.6,18.11,26.94,5.56,66.7,10.9,0.4,19.8,30.14723926380368,3,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,28.03.2019,117.65,54.85,3.35,164.03,8.62,13.01,2.86,73.02,9.9,0.0,26.0,26.527972027972027,3,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,29.03.2019,117.45,54.79,3.25,193.95,8.16,13.01,3.04,81.54,8.1,0.1,33.6,29.083916083916083,3,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,30.03.2019,117.1,54.73,3.7,165.65,6.24,9.07,1.86,87.14,8.9,0.0,33.6,18.867132867132867,3,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,31.03.2019,116.73,54.73,3.9,158.85,5.5,7.39,1.22,93.13,10.6,0.0,35.5,4.699300699300699,3,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,01.04.2019,116.52,54.71,4.01,221.04,15.62,20.73,3.97,77.56,13.1,0.0,19.1,22.3006993006993,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,02.04.2019,116.45,54.7,3.3,208.49,10.25,14.04,3.49,83.63,12.0,0.0,28.2,24.489510489510486,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,03.04.2019,116.23,54.64,3.71,145.97,12.67,17.73,4.31,79.78,11.6,0.1,25.2,25.61754385964912,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,04.04.2019,115.71,54.64,3.76,144.46,10.84,15.49,4.03,87.93,11.2,0.0,19.6,26.930069930069926,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,05.04.2019,115.67,54.53,3.89,166.6,18.71,26.3,5.96,74.93,14.2,0.0,15.6,30.753521126760564,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,06.04.2019,115.64,54.51,4.05,153.48,10.76,14.92,3.73,88.23,12.4,0.0,25.0,28.052447552447557,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,07.04.2019,115.11,54.49,5.26,218.51,29.51,37.94,6.5,71.95,17.9,0.9,10.8,24.81754385964912,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,08.04.2019,114.8,54.45,6.03,289.0,41.45,53.27,9.25,44.85,20.0,3.6,13.4,25.062717770034844,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,09.04.2019,114.67,54.43,5.54,170.03,32.12,42.02,7.47,55.35,18.4,4.2,16.3,26.33450704225352,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,10.04.2019,114.65,54.42,5.43,178.99,38.34,45.91,5.95,41.69,13.6,6.9,15.7,27.940350877192984,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,11.04.2019,114.31,54.38,5.55,211.3,19.29,21.93,2.72,56.38,16.7,9.8,24.3,26.332167832167837,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,12.04.2019,114.26,54.37,7.82,195.24,15.53,17.0,1.95,64.92,17.0,2.2,20.3,27.723776223776223,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,13.04.2019,113.93,54.36,4.82,174.07,20.9,25.93,4.29,63.68,19.1,4.5,12.1,28.299295774647888,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,14.04.2019,113.83,54.34,4.44,189.24,16.19,18.97,2.82,57.54,14.2,20.0,15.5,21.27177700348432,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,15.04.2019,113.52,54.34,3.93,145.33,14.07,21.43,5.82,35.4,11.1,2.1,22.6,22.109289617486336,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,16.04.2019,113.37,54.2,3.94,170.69,25.76,32.29,5.27,70.47,12.0,0.1,21.1,34.25433526011561,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,17.04.2019,113.32,54.1,4.56,316.66,37.87,46.07,6.36,57.63,14.8,3.2,13.8,25.653710247349824,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,19.04.2019,113.23,54.01,2.86,225.74,15.25,20.33,4.31,83.1,10.9,1.5,20.6,31.79649122807017,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,20.04.2019,113.1,54.01,3.69,240.6,20.06,25.34,4.47,80.18,9.6,3.8,26.0,28.69122807017544,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,21.04.2019,113.1,53.98,3.65,282.78,20.39,26.73,5.15,73.96,12.6,0.0,19.4,22.422535211267604,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,22.04.2019,113.0,53.96,2.88,228.05,23.71,32.07,6.43,70.93,14.2,0.0,16.5,21.611888111888117,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,23.04.2019,112.95,53.9,2.49,201.75,22.98,30.52,5.94,69.19,14.7,0.0,14.0,15.986013986013988,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,24.04.2019,112.9,53.89,3.23,241.33,29.47,37.95,6.52,70.14,20.8,2.3,11.7,26.1958041958042,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,25.04.2019,112.59,53.88,3.56,295.68,28.82,38.8,7.48,63.08,18.8,0.0,15.6,26.87412587412588,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,26.04.2019,112.35,53.85,3.3,256.14,26.6,37.25,7.95,67.97,18.2,0.0,14.0,29.04561403508772,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,27.04.2019,111.85,53.84,3.3,238.58,35.13,48.3,9.59,56.39,22.5,0.0,10.2,25.75,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,28.04.2019,111.8,53.8,4.87,322.28,45.21,57.86,9.27,44.53,23.4,0.5,19.2,21.56445993031359,4,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,30.04.2019,111.48,53.77,4.09,261.55,16.17,19.26,3.02,75.63,23.7,0.0,24.2,31.901754385964917,4,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,01.05.2019,111.3,53.75,3.37,195.58,9.61,12.47,2.86,75.3,21.1,0.0,24.3,14.209737827715356,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,02.05.2019,110.9,53.69,2.73,191.58,12.38,16.28,3.55,75.84,17.1,14.2,14.0,31.64664310954064,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,03.05.2019,110.9,53.67,4.76,214.5,22.68,26.79,3.69,59.57,20.6,0.0,13.2,30.667832167832167,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,04.05.2019,110.59,53.67,5.63,,31.4,36.4,4.27,73.73,22.1,0.7,20.4,25.849650349650343,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,05.05.2019,110.35,53.53,4.59,,18.96,23.48,3.97,,23.1,2.1,21.2,15.848056537102472,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,06.05.2019,109.95,53.53,3.79,314.85,13.89,15.97,2.34,75.96,23.0,0.4,22.7,20.870175438596487,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,07.05.2019,109.62,53.48,3.28,346.27,15.24,18.7,3.3,64.18,16.9,21.1,21.5,23.93684210526316,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,08.05.2019,109.31,53.38,3.2,308.12,16.86,20.6,3.57,52.88,13.2,4.0,15.6,20.944055944055943,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,09.05.2019,109.17,53.34,3.78,363.11,28.82,35.88,5.53,44.23,16.1,1.4,11.6,20.566433566433567,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,10.05.2019,109.09,53.33,4.09,365.34,31.61,34.28,2.74,50.96,17.6,8.4,21.3,26.729824561403507,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,11.05.2019,109.05,53.28,4.01,387.86,22.48,26.06,3.34,51.02,18.5,6.7,10.8,22.058035714285715,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,12.05.2019,108.81,53.25,4.85,375.9,29.68,42.3,9.24,51.95,21.8,0.7,12.2,12.825174825174823,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,13.05.2019,108.49,53.23,3.23,256.54,9.21,13.03,3.49,82.63,19.1,0.0,23.7,21.750877192982458,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,14.05.2019,108.49,53.18,2.29,283.73,11.8,16.44,4.08,76.9,19.6,1.2,22.4,21.30633802816901,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,15.05.2019,108.3,53.15,3.33,340.7,31.57,44.9,9.72,45.55,23.7,0.2,20.2,21.739436619718308,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,16.05.2019,108.24,53.13,3.74,275.63,16.49,23.0,5.26,67.53,21.3,1.4,17.1,23.087412587412587,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,17.05.2019,108.13,53.1,2.79,312.55,20.9,27.07,5.02,68.72,19.5,0.2,25.1,27.385159010600702,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,18.05.2019,107.98,53.1,2.78,284.31,10.74,12.25,1.99,78.02,22.9,0.9,16.6,17.564912280701755,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,19.05.2019,107.93,53.1,3.75,321.15,16.73,17.2,1.62,75.13,25.5,0.0,16.3,11.06315789473684,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,20.05.2019,107.85,53.08,6.09,386.79,45.06,50.67,5.18,59.49,27.6,0.0,19.0,15.54310344827586,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,21.05.2019,107.3,53.06,9.88,291.77,20.79,23.67,3.35,69.31,26.5,0.1,19.1,27.161261181562423,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,24.05.2019,107.25,52.98,2.95,,14.77,19.2,3.9,70.35,19.6,13.2,19.0,30.122377622377623,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,25.05.2019,107.24,52.91,2.56,348.2,10.19,11.61,1.93,61.64,22.0,7.8,17.5,21.750877192982458,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,26.05.2019,107.24,52.88,2.97,376.6,18.46,22.26,3.48,65.81,24.7,0.8,11.0,13.486013986013988,5,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,27.05.2019,107.15,52.86,2.66,366.04,25.27,33.86,6.57,64.7,24.8,0.0,20.0,24.87368421052632,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,28.05.2019,107.04,52.77,2.09,352.02,29.68,38.91,7.0,60.62,29.5,0.0,10.6,25.993006993007,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,29.05.2019,106.83,52.74,4.05,283.66,12.25,15.49,3.12,91.21,28.0,0.0,15.5,27.985915492957744,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,30.05.2019,106.69,52.73,2.64,272.14,12.93,16.14,3.1,80.28,27.6,0.0,16.6,30.50709219858156,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,31.05.2019,106.55,52.72,2.2,370.78,31.02,38.33,5.8,61.73,27.0,0.0,15.4,29.71631205673759,5,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,01.06.2019,106.45,52.71,1.89,296.7,11.96,17.84,4.85,61.91,24.5,0.0,18.4,20.5,6,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,02.06.2019,105.97,52.67,2.01,293.22,17.05,22.5,4.55,57.65,25.2,0.5,14.2,10.37979094076655,6,Hafta Sonu,Yüksek Risk (Sağlıksız)
Arnavutköy,03.06.2019,105.83,52.62,2.42,283.13,10.73,15.91,3.28,64.04,26.5,0.0,17.8,8.38976377952756,6,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,04.06.2019,105.83,52.48,2.65,268.3,9.99,14.39,3.22,70.65,25.2,0.7,16.6,22.79377431906615,6,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,05.06.2019,105.75,52.42,2.88,280.89,14.12,19.02,4.21,73.54,26.0,0.5,12.3,21.63565891472868,6,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,06.06.2019,105.72,52.4,,,25.03,30.39,4.5,86.5,28.2,0.0,13.0,13.463157894736842,6,Hafta İçi,Yüksek Risk (Sağlıksız)
Arnavutköy,07.06.2019,105.67,52.39,,,26.65,33.46,5.45,70.05,28.2,0.0,16.0,9.021052631578948,6,Hafta İçi,Yüksek Risk (Sağlıksız)
